"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 08:45:57 GMT 2023","Thu Apr 06 08:46:01 GMT 2023","3664","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Thu Apr 06 08:45:57 GMT 2023","Thu Apr 06 08:46:00 GMT 2023","2893","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Thu Apr 06 08:46:01 GMT 2023","Thu Apr 06 08:46:02 GMT 2023","936","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Thu Apr 06 08:46:00 GMT 2023","Thu Apr 06 08:46:03 GMT 2023","2595","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Thu Apr 06 08:46:03 GMT 2023","Thu Apr 06 08:46:05 GMT 2023","2064","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Thu Apr 06 08:46:08 GMT 2023","Thu Apr 06 08:46:09 GMT 2023","1334","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Thu Apr 06 08:46:02 GMT 2023","Thu Apr 06 08:46:03 GMT 2023","757","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Thu Apr 06 08:46:03 GMT 2023","Thu Apr 06 08:46:05 GMT 2023","1924","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Thu Apr 06 08:46:05 GMT 2023","Thu Apr 06 08:46:06 GMT 2023","1535","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Thu Apr 06 08:46:06 GMT 2023","Thu Apr 06 08:46:08 GMT 2023","1635","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
